customer_key,customer_id,country,region,credit_score_band,acquisition_channel
1,CUS-000001,Austria,Vienna,Fair,Direct Sales
2,CUS-000002,Germany,Baden-Württemberg,Poor,Direct Sales
3,CUS-000003,Germany,Lower Saxony,Fair,Installer Referral
4,CUS-000004,Germany,North Rhine-Westphalia,Fair,Installer Referral
5,CUS-000005,Austria,Styria,Fair,Online
6,CUS-000006,Germany,Berlin,Poor,Online
7,CUS-000007,Austria,Styria,Fair,Online
8,CUS-000008,Germany,Baden-Württemberg,Poor,Partner Bank
9,CUS-000009,Austria,Upper Austria,Good,Installer Referral
10,CUS-000010,Germany,Hesse,Poor,Online
11,CUS-000011,Germany,North Rhine-Westphalia,Poor,Installer Referral
12,CUS-000012,Germany,North Rhine-Westphalia,Poor,Installer Referral
13,CUS-000013,Austria,Upper Austria,Fair,Online
14,CUS-000014,Germany,Berlin,Fair,Installer Referral
15,CUS-000015,Austria,Vienna,Good,Installer Referral
16,CUS-000016,Germany,North Rhine-Westphalia,Fair,Online
17,CUS-000017,Germany,North Rhine-Westphalia,Good,Partner Bank
18,CUS-000018,Germany,Baden-Württemberg,Poor,Marketplace
19,CUS-000019,Germany,Berlin,Good,Partner Bank
20,CUS-000020,Austria,Upper Austria,Poor,Installer Referral
21,CUS-000021,Netherlands,North Holland,Fair,Marketplace
22,CUS-000022,Germany,Hesse,Good,Partner Bank
23,CUS-000023,Germany,Hesse,Poor,Installer Referral
24,CUS-000024,Austria,Vienna,Good,Partner Bank
25,CUS-000025,Germany,Hesse,Fair,Marketplace
26,CUS-000026,Austria,Vienna,Good,Installer Referral
27,CUS-000027,Germany,Baden-Württemberg,Fair,Partner Bank
28,CUS-000028,Germany,Baden-Württemberg,Good,Partner Bank
29,CUS-000029,Germany,Berlin,Good,Installer Referral
30,CUS-000030,Germany,Lower Saxony,Fair,Direct Sales
31,CUS-000031,Germany,Baden-Württemberg,Good,Direct Sales
32,CUS-000032,Germany,North Rhine-Westphalia,Good,Online
33,CUS-000033,Germany,Lower Saxony,Good,Partner Bank
34,CUS-000034,Germany,Berlin,Excellent,Installer Referral
35,CUS-000035,Germany,Berlin,Fair,Installer Referral
36,CUS-000036,Netherlands,North Holland,Fair,Installer Referral
37,CUS-000037,Germany,Bavaria,Excellent,Marketplace
38,CUS-000038,Germany,Bavaria,Good,Direct Sales
39,CUS-000039,Germany,Berlin,Fair,Online
40,CUS-000040,Germany,Berlin,Fair,Direct Sales
41,CUS-000041,Austria,Vienna,Fair,Installer Referral
42,CUS-000042,Austria,Styria,Good,Installer Referral
43,CUS-000043,Germany,Bavaria,Good,Direct Sales
44,CUS-000044,Germany,Hesse,Fair,Marketplace
45,CUS-000045,Austria,Styria,Fair,Direct Sales
46,CUS-000046,Germany,Hesse,Good,Installer Referral
47,CUS-000047,Austria,Upper Austria,Good,Installer Referral
48,CUS-000048,Germany,Hesse,Good,Installer Referral
49,CUS-000049,Germany,Berlin,Good,Installer Referral
50,CUS-000050,Germany,Hesse,Excellent,Installer Referral
51,CUS-000051,Germany,North Rhine-Westphalia,Fair,Installer Referral
52,CUS-000052,Germany,Hesse,Good,Installer Referral
53,CUS-000053,Austria,Upper Austria,Poor,Online
54,CUS-000054,Germany,Hesse,Good,Installer Referral
55,CUS-000055,Germany,Lower Saxony,Poor,Marketplace
56,CUS-000056,Germany,Berlin,Fair,Partner Bank
57,CUS-000057,Austria,Upper Austria,Good,Online
58,CUS-000058,Germany,Baden-Württemberg,Fair,Partner Bank
59,CUS-000059,Austria,Upper Austria,Poor,Marketplace
60,CUS-000060,Germany,Lower Saxony,Fair,Partner Bank
61,CUS-000061,Germany,Lower Saxony,Excellent,Online
62,CUS-000062,Germany,Lower Saxony,Good,Online
63,CUS-000063,Germany,Lower Saxony,Good,Marketplace
64,CUS-000064,Germany,Bavaria,Good,Partner Bank
65,CUS-000065,Germany,Baden-Württemberg,Good,Installer Referral
66,CUS-000066,Netherlands,North Holland,Fair,Marketplace
67,CUS-000067,Germany,Bavaria,Fair,Installer Referral
68,CUS-000068,Germany,Bavaria,Fair,Installer Referral
69,CUS-000069,Germany,Baden-Württemberg,Excellent,Online
70,CUS-000070,Austria,Vienna,Fair,Installer Referral
71,CUS-000071,Germany,Hesse,Excellent,Installer Referral
72,CUS-000072,Germany,Lower Saxony,Good,Partner Bank
73,CUS-000073,Germany,Berlin,Fair,Installer Referral
74,CUS-000074,Germany,Baden-Württemberg,Poor,Online
75,CUS-000075,Germany,Hesse,Fair,Installer Referral
76,CUS-000076,Germany,Baden-Württemberg,Excellent,Online
77,CUS-000077,Germany,Lower Saxony,Fair,Installer Referral
