payment_id,invoice_key,payment_date,amount,payment_method
1,2,2024-06-24,359.0,Bank Transfer
2,3,2024-07-19,359.0,Card
3,4,2024-08-20,359.0,Direct Debit
4,5,2024-09-18,159.94,Bank Transfer
5,5,2024-09-23,98.34,Card
6,5,2024-09-26,100.72,Direct Debit
7,6,2024-10-20,359.0,Bank Transfer
8,7,2024-11-19,359.0,Bank Transfer
9,8,2024-12-19,359.0,Bank Transfer
10,10,2023-12-10,424.87,Direct Debit
11,11,2024-01-03,424.87,Direct Debit
12,12,2024-02-11,141.25,Direct Debit
13,12,2024-02-20,187.56,Direct Debit
14,13,2024-03-03,424.87,Direct Debit
15,14,2024-04-10,424.87,Direct Debit
16,15,2024-05-03,99.58,Bank Transfer
17,15,2024-05-07,157.04,Direct Debit
18,16,2024-06-04,424.87,Bank Transfer
19,17,2024-07-05,424.87,Card
20,18,2024-08-07,424.87,Direct Debit
21,19,2024-11-15,151.57,Direct Debit
22,19,2024-11-23,115.74,Direct Debit
23,19,2024-11-23,157.56,Bank Transfer
24,20,2024-10-06,424.87,Direct Debit
25,21,2024-11-04,424.87,Bank Transfer
26,22,2024-12-03,424.87,Bank Transfer
27,23,2024-12-27,424.87,Bank Transfer
28,24,2023-04-09,98.82,Direct Debit
29,25,2023-05-13,98.82,Bank Transfer
30,26,2023-06-16,98.82,Bank Transfer
31,27,2023-07-17,98.82,Other
32,28,2023-08-08,37.54,Direct Debit
33,28,2023-08-16,45.5,Direct Debit
34,29,2023-09-14,98.82,Direct Debit
35,30,2023-10-07,98.82,Direct Debit
36,31,2023-11-09,98.82,Direct Debit
37,32,2023-12-07,98.82,Direct Debit
38,33,2024-01-10,42.23,Card
39,33,2024-01-16,14.47,Card
40,33,2024-01-22,30.88,Direct Debit
41,34,2024-02-12,24.95,Bank Transfer
42,34,2024-02-19,11.14,Direct Debit
43,34,2024-02-20,14.61,Direct Debit
44,35,2024-03-13,98.82,Bank Transfer
45,36,2024-04-07,42.59,Direct Debit
46,36,2024-04-14,20.75,Direct Debit
47,36,2024-04-19,35.48,Card
48,37,2024-05-07,98.82,Bank Transfer
49,38,2024-06-05,98.82,Other
50,39,2024-07-01,98.82,Direct Debit
51,40,2024-08-08,98.82,Direct Debit
52,41,2024-09-06,98.82,Other
53,42,2024-10-07,98.82,Direct Debit
54,43,2024-10-31,31.85,Direct Debit
55,43,2024-11-09,22.89,Direct Debit
56,43,2024-11-12,44.08,Direct Debit
57,44,2024-11-30,98.82,Direct Debit
58,45,2024-12-28,98.82,Direct Debit
59,46,2024-07-20,88.74,Direct Debit
60,47,2024-09-04,88.74,Direct Debit
61,48,2024-09-23,88.74,Direct Debit
62,49,2024-10-17,88.74,Direct Debit
63,50,2024-11-16,88.74,Bank Transfer
64,51,2024-12-22,88.74,Bank Transfer
65,54,2022-11-02,179.04,Direct Debit
66,55,2022-11-29,179.04,Direct Debit
67,56,2023-01-01,179.04,Direct Debit
68,57,2023-01-31,179.04,Direct Debit
69,58,2023-03-05,38.63,Bank Transfer
70,58,2023-03-12,42.88,Direct Debit
71,59,2023-04-04,179.04,Direct Debit
72,60,2023-04-28,179.04,Direct Debit
73,61,2023-05-27,179.04,Bank Transfer
74,62,2023-07-03,179.04,Direct Debit
75,63,2023-08-05,179.04,Direct Debit
76,64,2023-08-25,179.04,Direct Debit
77,65,2023-09-30,179.04,Card
78,66,2023-11-02,179.04,Direct Debit
79,67,2023-12-03,179.04,Direct Debit
80,68,2024-01-02,30.92,Bank Transfer
81,68,2024-01-11,45.76,Direct Debit
82,69,2024-01-26,179.04,Direct Debit
83,70,2024-02-22,179.04,Direct Debit
84,71,2024-03-31,179.04,Card
85,72,2024-04-30,179.04,Direct Debit
86,73,2024-05-30,179.04,Direct Debit
87,74,2024-06-24,179.04,Direct Debit
88,75,2024-07-30,179.04,Direct Debit
89,76,2023-12-15,363.26,Direct Debit
90,77,2024-01-10,363.26,Direct Debit
91,78,2024-02-12,363.26,Bank Transfer
92,79,2024-03-09,363.26,Direct Debit
93,80,2024-04-14,363.26,Direct Debit
94,81,2024-05-14,51.11,Direct Debit
95,81,2024-05-24,111.43,Direct Debit
96,82,2024-06-13,363.26,Direct Debit
97,83,2024-07-08,363.26,Direct Debit
98,84,2024-08-15,363.26,Direct Debit
99,86,2024-10-09,110.67,Direct Debit
100,86,2024-10-14,252.59,Direct Debit
101,87,2024-11-04,363.26,Bank Transfer
102,88,2024-12-06,363.26,Bank Transfer
103,90,2024-03-11,171.77,Direct Debit
104,90,2024-03-15,64.97,Bank Transfer
105,90,2024-03-19,117.12,Direct Debit
106,91,2024-03-31,540.14,Direct Debit
107,92,2024-05-03,540.14,Direct Debit
108,93,2024-06-08,540.14,Bank Transfer
109,94,2024-07-04,540.14,Other
110,95,2024-08-08,540.14,Direct Debit
111,96,2024-09-03,540.14,Direct Debit
112,97,2024-09-30,540.14,Bank Transfer
113,98,2024-10-30,182.8,Direct Debit
114,98,2024-11-08,135.58,Bank Transfer
115,98,2024-11-19,221.76,Direct Debit
116,99,2024-12-01,540.14,Direct Debit
117,100,2025-01-01,540.14,Direct Debit
118,101,2024-10-23,304.57,Direct Debit
119,102,2024-11-21,304.57,Bank Transfer
120,103,2024-12-18,304.57,Direct Debit
121,105,2023-12-23,579.17,Direct Debit
122,106,2024-01-22,579.17,Direct Debit
123,107,2024-02-24,579.17,Direct Debit
124,108,2024-03-22,81.07,Direct Debit
125,108,2024-03-29,56.14,Direct Debit
126,108,2024-04-05,73.54,Direct Debit
127,109,2024-04-25,579.17,Direct Debit
128,110,2024-05-16,579.17,Direct Debit
129,111,2024-06-18,579.17,Card
130,112,2024-07-18,579.17,Other
131,113,2024-08-17,579.17,Direct Debit
132,114,2024-09-23,579.17,Card
133,115,2024-10-21,579.17,Direct Debit
134,116,2024-11-19,579.17,Direct Debit
135,117,2024-12-22,236.84,Direct Debit
136,117,2024-12-26,113.3,Bank Transfer
137,117,2025-01-03,229.03,Direct Debit
138,119,2024-04-07,146.84,Card
139,120,2024-05-02,146.84,Other
140,121,2024-05-31,146.84,Direct Debit
141,122,2024-06-30,146.84,Card
142,123,2024-08-02,71.33,Direct Debit
143,123,2024-08-11,75.51,Bank Transfer
144,124,2024-08-29,146.84,Direct Debit
145,125,2024-10-03,146.84,Card
146,126,2024-10-28,146.84,Bank Transfer
147,127,2024-11-30,146.84,Direct Debit
148,128,2024-12-25,146.84,Direct Debit
149,129,2024-06-16,587.95,Direct Debit
150,130,2024-07-19,587.95,Bank Transfer
151,131,2024-08-20,587.95,Bank Transfer
152,132,2024-09-20,587.95,Other
153,133,2024-10-16,587.95,Direct Debit
154,134,2024-11-20,587.95,Card
155,135,2024-12-15,74.36,Bank Transfer
156,135,2024-12-18,70.59,Other
157,135,2024-12-31,86.88,Direct Debit
158,137,2023-01-23,389.47,Direct Debit
159,138,2023-02-17,389.47,Card
160,139,2023-03-28,389.47,Bank Transfer
161,140,2023-04-21,389.47,Direct Debit
162,141,2023-05-22,389.47,Direct Debit
163,142,2023-06-19,389.47,Bank Transfer
164,143,2023-07-27,389.47,Direct Debit
165,144,2023-08-23,389.47,Direct Debit
166,145,2023-09-21,389.47,Direct Debit
167,146,2023-10-20,125.21,Direct Debit
168,146,2023-10-27,184.47,Bank Transfer
169,147,2023-11-23,389.47,Direct Debit
170,148,2023-12-23,389.47,Direct Debit
171,149,2024-01-17,389.47,Direct Debit
172,150,2024-02-21,389.47,Bank Transfer
173,151,2024-03-16,389.47,Direct Debit
174,152,2024-04-19,389.47,Bank Transfer
175,153,2024-05-18,389.47,Bank Transfer
176,154,2024-06-15,389.47,Bank Transfer
177,155,2024-07-16,389.47,Direct Debit
178,156,2024-08-17,389.47,Direct Debit
179,157,2024-09-11,389.47,Direct Debit
180,158,2024-10-10,389.47,Direct Debit
181,159,2024-11-18,389.47,Direct Debit
182,160,2024-12-10,389.47,Direct Debit
183,161,2022-04-05,185.42,Bank Transfer
184,162,2022-05-12,185.42,Direct Debit
185,163,2022-06-04,185.42,Direct Debit
186,164,2022-07-11,185.42,Bank Transfer
187,165,2022-08-01,185.42,Bank Transfer
188,166,2022-09-03,185.42,Direct Debit
189,167,2022-10-03,185.42,Direct Debit
190,168,2022-11-04,185.42,Direct Debit
191,169,2022-11-29,185.42,Direct Debit
192,170,2023-01-05,22.55,Card
193,170,2023-01-11,15.06,Direct Debit
194,170,2023-01-19,31.67,Direct Debit
195,171,2023-01-31,185.42,Direct Debit
196,172,2023-03-06,185.42,Bank Transfer
197,173,2023-04-04,70.9,Direct Debit
198,173,2023-04-11,39.83,Direct Debit
199,173,2023-04-22,74.69,Card
200,174,2023-05-07,185.42,Other
201,175,2023-06-04,185.42,Direct Debit
202,176,2023-07-03,185.42,Direct Debit
203,177,2023-08-02,185.42,Bank Transfer
204,178,2023-08-28,185.42,Bank Transfer
205,179,2023-09-28,57.78,Direct Debit
206,179,2023-10-07,127.64,Direct Debit
207,180,2023-11-03,185.42,Direct Debit
208,181,2023-11-25,185.42,Direct Debit
209,182,2023-12-26,185.42,Direct Debit
210,183,2024-01-31,185.42,Direct Debit
211,184,2024-02-26,62.42,Direct Debit
212,184,2024-03-02,38.6,Direct Debit
213,184,2024-03-05,84.4,Direct Debit
214,185,2023-11-10,261.75,Direct Debit
215,186,2023-11-23,261.75,Bank Transfer
216,187,2024-01-01,261.75,Direct Debit
217,188,2024-01-29,261.75,Direct Debit
218,189,2024-03-01,261.75,Direct Debit
219,190,2024-03-26,261.75,Other
220,191,2024-04-25,261.75,Bank Transfer
221,192,2024-05-21,261.75,Direct Debit
222,193,2024-06-19,261.75,Direct Debit
223,194,2024-07-20,261.75,Bank Transfer
224,195,2024-08-28,261.75,Direct Debit
225,196,2024-09-17,261.75,Bank Transfer
226,197,2024-10-20,261.75,Bank Transfer
227,198,2024-11-19,261.75,Bank Transfer
228,199,2024-12-23,78.78,Direct Debit
229,199,2024-12-28,182.97,Other
230,200,2022-09-24,302.67,Bank Transfer
231,201,2022-10-28,302.67,Direct Debit
232,202,2022-11-21,302.67,Direct Debit
233,203,2022-12-24,302.67,Direct Debit
234,204,2023-01-18,302.67,Direct Debit
235,205,2023-02-17,39.99,Direct Debit
236,205,2023-02-21,21.13,Direct Debit
237,205,2023-03-03,40.36,Direct Debit
238,206,2023-03-27,302.67,Direct Debit
239,207,2023-05-06,302.67,Bank Transfer
240,208,2023-05-22,302.67,Direct Debit
241,210,2023-07-26,302.67,Other
242,211,2023-09-03,56.86,Direct Debit
243,211,2023-09-12,93.48,Direct Debit
244,212,2023-09-24,302.67,Bank Transfer
245,213,2023-10-20,302.67,Direct Debit
246,214,2023-11-23,57.97,Direct Debit
247,214,2023-12-01,63.22,Direct Debit
248,216,2024-01-13,302.67,Bank Transfer
249,217,2024-02-21,302.67,Direct Debit
250,218,2024-03-31,302.67,Direct Debit
251,219,2024-04-16,302.67,Direct Debit
252,220,2024-05-18,302.67,Direct Debit
253,221,2024-06-18,302.67,Direct Debit
254,222,2024-07-18,302.67,Direct Debit
255,223,2024-08-15,302.67,Direct Debit
256,224,2024-06-28,730.18,Direct Debit
257,225,2024-07-10,730.18,Direct Debit
258,226,2024-08-16,730.18,Bank Transfer
259,227,2024-09-14,730.18,Direct Debit
260,228,2024-10-10,730.18,Card
261,229,2024-11-12,730.18,Direct Debit
262,230,2024-12-11,730.18,Direct Debit
263,232,2024-03-19,471.85,Direct Debit
264,233,2024-04-25,471.85,Direct Debit
265,235,2024-06-20,471.85,Card
266,236,2024-07-20,471.85,Card
267,237,2024-08-17,471.85,Direct Debit
268,238,2024-09-21,471.85,Bank Transfer
269,240,2024-11-17,471.85,Direct Debit
270,241,2024-12-18,177.67,Card
271,241,2024-12-27,294.18,Card
272,243,2024-08-15,660.29,Direct Debit
273,244,2024-09-13,660.29,Direct Debit
274,245,2024-10-17,184.91,Direct Debit
275,245,2024-10-25,133.08,Other
276,245,2024-10-25,177.8,Direct Debit
277,247,2024-12-09,660.29,Direct Debit
278,249,2024-06-29,381.61,Direct Debit
279,250,2024-06-16,381.61,Direct Debit
280,251,2024-07-12,381.61,Bank Transfer
281,252,2024-08-13,381.61,Direct Debit
282,253,2024-11-26,381.61,Direct Debit
283,254,2024-10-11,381.61,Direct Debit
284,255,2024-11-11,381.61,Direct Debit
285,256,2024-12-08,381.61,Direct Debit
286,258,2023-08-19,273.98,Direct Debit
287,259,2023-08-08,99.76,Bank Transfer
288,259,2023-08-16,73.57,Direct Debit
289,259,2023-08-16,100.65,Bank Transfer
